Métrica,Baseline,Wrapper,GA
Acurácia,0.7919,0.7126,0.8
% Features,100.0,5.357142857142857,49.87244897959184
Tempo Treino (s),44.72435736656189,1.2904376983642578,19.073480129241943
Tempo Busca (s),0.0,589.2958676815033,1583.9305651187897
